IN1,IN2,IN3,IN4,IN5,SO2,H2S
0.0777441375044211,0.795565144133244,-0.665503315,0.879321449284856,0.134418828316752,-0.122686361,0.123661031702024
0.080312531632847,0.82459489324542,-0.655446576,0.875636018609418,0.13494074772087,-0.122686361,0.123661031702024
0.087354902630141,0.776257622318071,-0.65054984,0.884105421796243,0.132451593639691,-0.026856981,0.123661031702024
0.0917736452166786,0.739148839254867,-0.644933511,0.892043272481803,0.131287311892043,-0.026856981,0.251009609901406
0.0911660681110301,0.76133194942549,-0.648654329,0.892752009150156,0.136787539458519,-0.026856981,0.251009609901406
0.0876586911829658,0.762016613319646,-0.653656371,0.896012197824583,0.140481122933817,-0.026856981,0.378358188100788
0.08249428578495,0.733397662543964,-0.653621269,0.892468514482815,0.138192707084991,-0.026856981,0.378358188100788
0.0818867086793003,0.703957115095295,-0.650795554,0.891511719980538,0.13751019709499,-0.026856981,0.50570676630017
0.0848141256428815,0.637955515698746,-0.654586576,0.888535025973453,0.135382371832047,-0.026856981,0.50570676630017
0.0840408456902381,0.6682176598204,-0.654516372,0.889314636308642,0.130925983073807,-0.026856981,0.633055344499552
0.0836818228550816,0.789403169085849,-0.659834333,0.887471920970923,0.0850372231578772,-0.026856981,0.633055344499552
0.0854217027485311,0.790498631316497,-0.664011477,0.88704667896991,0.0342103027260597,0.0689723994155025,0.50570676630017
0.08249428578495,0.722853838573976,-0.663081273,0.892043272481803,0.0317211486448806,0.164801779442981,0.378358188100788
0.0757833204816448,0.721484510785665,-0.65790372,0.897961223662555,-0.002966418,0.0689723994155025,0.378358188100788
0.0642669726154816,0.734356191995781,-0.650830656,0.903170438174954,-0.042752736,-0.026856981,0.50570676630017
0.052999179019809,0.678350685453896,-0.644003306,0.906005384848368,-0.065797485,-0.122686361,0.50570676630017
0.0421180254004594,0.663288079782484,-0.646864124,0.91025780485849,-0.119755921,-0.218515741,0.633055344499552
0.030684528957793,0.717239594641904,-0.651795963,0.911675278195197,-0.209445764,-0.314345121,0.633055344499552
0.0252715692892841,0.747501738763558,-0.647618818,0.917451482042278,-0.297730438,-0.410174501,0.633055344499552
0.0270666834650653,0.778037748442875,-0.648075145,0.921243223217971,-0.324549066,-0.506003881,0.760403922698934
0.0255201235597772,0.811449346477642,-0.648373512,0.92018011821544,-0.337597051,-0.601833261,0.760403922698934
0.021708958078888,0.752842117137968,-0.660694333,0.913057314698486,-0.370357531,-0.601833261,0.760403922698934
0.021708958078888,0.695056484471279,-0.663046171,0.905119464012926,-0.391876669,-0.506003881,0.633055344499552
0.0244706721954742,0.698890602278548,-0.65635923,0.905686453347609,-0.419819431,-0.506003881,0.50570676630017
0.0260448492419287,0.675201231540782,-0.66097515,0.90735198451824,-0.452098139,-0.506003881,0.50570676630017
0.0210737638320731,0.73421925921695,-0.654007392,0.911923336029121,-0.482168726,-0.506003881,0.50570676630017
0.0176768554686721,0.804054976420767,-0.669645357,0.921349533718223,-0.520469581,-0.506003881,0.378358188100788
0.0141694785406077,0.721347578006834,-0.69821843,0.916352940206331,-0.529422506,-0.506003881,0.378358188100788
0.0120705758120029,0.650964129687693,-0.691654345,0.906324316349128,-0.531028412,-0.506003881,0.378358188100788
0.0159093584340573,0.676570559329092,-0.690109855,0.897819476328885,-0.559934717,-0.506003881,0.251009609901406
0.024774460748299,0.718608922430214,-0.681720464,0.893744240485852,-0.592173278,-0.506003881,0.251009609901406
0.0352413572501604,0.757771697175884,-0.668399234,0.89803209732939,-0.592213425,-0.506003881,0.123661031702024
0.0475586022101348,0.831304599408139,-0.65876372,0.877159802446378,-0.59229372,-0.410174501,-0.131036125
0.0623337727338705,0.794606614681427,-0.650830656,0.857846728233743,-0.591330177,-0.410174501,-0.131036125
0.0716959835890972,0.73148060364033,-0.648004941,0.860079248739057,-0.580008541,-0.410174501,-0.131036125
0.0745957834115132,0.740655099822007,-0.650935962,0.860079248739057,-0.514889058,-0.410174501,-0.131036125
0.070618915083629,0.735040855889936,-0.66097515,0.858271970234756,-0.453543454,-0.410174501,-0.131036125
0.0740986748705281,0.662603415888328,-0.661501681,0.859051580569944,-0.45310183,-0.410174501,-0.131036125
0.0797878059506955,0.647266944659255,-0.65448127,0.862807884912219,-0.452660206,-0.410174501,-0.131036125
0.0815276858441451,0.701492325076337,-0.656078413,0.868017099424617,-0.452218582,-0.410174501,-0.131036125
0.0835437371492517,0.714774804622945,-0.666749438,0.872623887768916,-0.454065374,-0.410174501,-0.131036125
0.0869130283714876,0.725318628592933,-0.671260052,0.877833102281314,-0.456434085,-0.314345121,-0.258384703
0.0841789313960666,0.76393367222328,-0.668293928,0.881872901290929,-0.456313642,-0.314345121,-0.385733281
0.0758661719051429,0.738874973697204,-0.665608621,0.881908338124347,-0.454627441,-0.314345121,-0.385733281
0.0728559035180636,0.714911737401776,-0.658939231,0.885770952966874,-0.454105521,-0.314345121,-0.385733281
0.0697904008486539,0.760784218310167,-0.662186171,0.885948137133963,-0.456233347,-0.314345121,-0.258384703
0.0716407493067656,0.758045562733547,-0.670505358,0.887259299970416,-0.458039991,-0.410174501,-0.258384703
0.075065274811333,0.736684049235908,-0.660940048,0.8948427823218,-0.45924442,-0.410174501,-0.258384703
0.0735739491883766,0.765713798348084,-0.656183719,0.901008791336476,-0.458923239,-0.410174501,-0.258384703
0.0784621831747341,0.74243522594681,-0.662396783,0.901646654337994,-0.458602058,-0.410174501,-0.131036125
0.0777441375044211,0.699438333393872,-0.664011477,0.901752964838247,-0.456875709,-0.410174501,-0.131036125
0.0773298803869329,0.723401569689299,-0.660080047,0.897075302827113,-0.463981842,-0.506003881,-0.131036125
0.0767775375636162,0.756813167724067,-0.646478001,0.897323360661038,-0.512921823,-0.506003881,-0.003687546
0.0793459316920408,0.727235687496568,-0.647443308,0.891263662146614,-0.556883496,-0.410174501,-0.003687546
0.090586108146547,0.68848371108739,-0.663326987,0.886408815968392,-0.554153456,-0.410174501,-0.003687546
0.09163555951085,0.75311598269563,-0.655692291,0.89590588732433,-0.55118253,-0.410174501,0.123661031702024
0.0898956796174004,0.818022119861531,-0.645969021,0.895657829490407,-0.550419725,-0.410174501,0.123661031702024
0.09163555951085,0.785705984057411,-0.649724941,0.894913655988635,-0.539298827,-0.410174501,0.123661031702024
0.0914974738050202,0.764755268896266,-0.653515963,0.89682724499319,-0.487428068,-0.410174501,0.123661031702024
0.0935687593924598,0.716007199632425,-0.654937596,0.896650060826101,-0.418012787,-0.314345121,0.123661031702024
0.0919945823460065,0.662192617551836,-0.651971473,0.896508313492431,-0.393442427,-0.314345121,0.123661031702024
0.0881834168651173,0.710119090142691,-0.653217596,0.894630161321294,-0.394687005,-0.314345121,0.378358188100788
0.0848693599252132,0.762975142771463,-0.652761269,0.894311229820534,-0.393643166,-0.314345121,0.50570676630017
0.0794011659743725,0.765166067232759,-0.650760452,0.893248124818004,-0.412432264,-0.314345121,0.50570676630017
0.074733869117343,0.722579973016313,-0.665152294,0.893106377484334,-0.465467305,-0.218515741,0.50570676630017
0.0683266923668627,0.769410983376521,-0.666644132,0.899449570666098,-0.537492183,-0.218515741,0.378358188100788
0.0635213098040021,0.79638674080623,-0.664011477,0.904127232677231,-0.579366178,-0.218515741,0.378358188100788
0.0572246016181864,0.700122997288027,-0.664871478,0.903808301176472,-0.580209279,-0.218515741,0.378358188100788
0.0573903044651814,0.674105769310134,-0.662572293,0.900193744167869,-0.577318648,-0.122686361,0.378358188100788
0.0557056588540635,0.726140225265919,-0.662080864,0.895835013657495,-0.580851641,-0.122686361,0.378358188100788
0.0557332759952299,0.729289679179033,-0.65876372,0.897996660495973,-0.608553517,-0.122686361,0.378358188100788
0.0593235043467912,0.737916444245387,-0.655358821,0.900512675668628,-0.636295541,-0.122686361,0.378358188100788
0.0600691671582694,0.814188002054262,-0.657324536,0.899839375833692,-0.636375836,-0.122686361,0.251009609901406
0.0590749500762993,0.805150438651416,-0.65465678,0.895232587489394,-0.636496279,-0.122686361,0.378358188100788
0.0502374649032228,0.759141024964195,-0.65465678,0.891369972646867,-0.636576575,-0.122686361,0.378358188100788
0.0396048655543664,0.763796739444449,-0.657517597,0.890909293812437,-0.638102185,-0.122686361,0.378358188100788
0.0293589061818316,0.724360099141116,-0.655938005,0.892716572316739,-0.638222628,-0.218515741,0.378358188100788
0.0235040722546693,0.645897616870945,-0.659623721,0.894311229820534,-0.677326436,-0.218515741,0.50570676630017
0.0183672839978187,0.704230980652957,-0.663151477,0.898705397164327,-0.759829849,-0.218515741,0.50570676630017
0.0133685814467979,0.787349177403384,-0.657113924,0.900193744167869,-0.80519669,-0.218515741,0.50570676630017
0.00690617041398585,0.759414890521856,-0.64372249,0.898740833997744,-0.822219292,-0.314345121,0.50570676630017
-0.001102801,0.73695791479357,-0.645161674,0.903170438174954,-0.854578295,-0.314345121,0.50570676630017
-0.008697514,0.749555730446024,-0.644477184,0.906182569015457,-0.905365068,-0.314345121,0.50570676630017
-0.015712268,0.743119889840966,-0.641721673,0.909584505023554,-0.952940029,-0.218515741,0.378358188100788
-0.012149657,0.745858545417586,-0.646197185,0.916742745373925,-0.991963541,-0.218515741,0.251009609901406
